,zpid,latlon,street,zipcode,city,state,bedrooms,bathrooms,finishedSqFt,yearBuilt,price,rent,tax.year,tax,hoa,lat,lon
2521,79841864,"[""37.710971"",""-122.404403""]",2428 Bay Shore Blvd # IT1,94134,San Francisco,CA,2,1,1017,2005,690400,3395,NA,300000,"500""zpid""",37.710971,-122.404403
2522,79846770,"[""37.710971"",""-122.404403""]",2428 Bay Shore Blvd # IT3,94134,San Francisco,CA,3,1,1410,2005,690400,3995,NA,318264,"500""zpid""",37.710971,-122.404403
2523,79845770,"[""37.710971"",""-122.404403""]",2428 Bay Shore Blvd # IT4,94134,San Francisco,CA,2,1,1054,2005,690400,3400,NA,300000,"500""zpid""",37.710971,-122.404403
2524,79845770,"[""37.710971"",""-122.404403""]",2428 Bay Shore Blvd # IT4,94134,San Francisco,CA,2,1,1054,2005,690400,3400,NA,300000,"500""zpid""",37.710971,-122.404403
1258,15154310,"[""37.724195"",""-122.39433""]",5945 3rd St # A,94124,San Francisco,CA,UNKNOWN,UNKNOWN,2384,1987,719000,4350,NA,410111,500,37.724195,-122.39433
1259,2097632594,"[""37.718403"",""-122.398265""]",6674 3rd St APT A,94124,San Francisco,CA,2,1,500,UNKNOWN,719000,UNKNOWN,NA,UNKNOWN,"500""zpid""",37.718403,-122.398265
1283,15154310,"[""37.724195"",""-122.39433""]",5945 3rd St # A,94124,San Francisco,CA,UNKNOWN,UNKNOWN,2384,1987,719000,4250,NA,410111,500,37.724195,-122.39433
1284,2097632594,"[""37.718403"",""-122.398265""]",6674 3rd St APT A,94124,San Francisco,CA,2,1,500,UNKNOWN,719000,UNKNOWN,NA,UNKNOWN,"500""zpid""",37.718403,-122.398265
1437,15155644,"[""37.745685"",""-122.38792""]",675 Arthur Ave # 1A,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,10687,1987,719000,9500,NA,1183000,"500""zpid""",37.745685,-122.38792
1438,15155657,"[""37.745685"",""-122.38792""]",675 Arthur Ave #4A,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3082,1987,719000,4995,NA,406135,500,37.745685,-122.38792
1439,15155658,"[""37.745685"",""-122.38792""]",675 Arthur Ave #4B,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3160,1987,719000,5000,NA,814066,500,37.745685,-122.38792
1440,15155662,"[""37.745685"",""-122.38792""]",675 Arthur Ave # 4F,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3082,1987,719000,4995,NA,366260,"500""zpid""",37.745685,-122.38792
1441,15155657,"[""37.745685"",""-122.38792""]",675 Arthur Ave #4A,94124,SAN FRANCISCO,CA,UNKNOWN,UNKNOWN,3082,1987,719000,4995,NA,406135,500,37.745685,-122.38792
